---------참조 스트링---------
 14 17 28 26 24 26 17 13 10  2  3  8 21 20 24 17  1  7 23 17 12  9 28 10  3 21  3 14  8 26 30 13 13 19 30 28 14 17  2 23 10  4 22 30 15  8  9 15  6  1 24 17  2 21 27  4  3 21 17  2 16 16 15 28 27  6 17 10 14 18 25 16 13 16 15 28 15 15  4 21  8 19  7  9  9 25  4 12 15 20 13  1 27 19 20 23 17  7 25 30 16 11 15 29 18 22 18  3 28 13 23 27  2 21 27  2 16 30  5 30 11 10 22  8 28 12 22  6 10  8 28 17 18  4  7  6 17 24 30 15 29 22  3 30  4 30  1 19 29  6 11 10  7 24  9 26 27 22  2  6 30 29 15  9  2 21 14 11 15  5 25  5 18 27  4 22 18 26 10 17 23 12 18 29  6 18 25  2  9 26 30  8 16 14  9  9  4 22 19 10 27  5 14 14 24  9 27 11  5 29 19 19 10 28 18  7 15  4  1 24 21 30 23  6  5  1  6 30 15 17 10  3 13 15  8 28 16  5  9 12  3 19 30  4 17  9 11 23 12 11 16  2  2  1 29  6  1 27  5  7 13  6  9 17 13  9 15 28 13 15  1  7  3 30 10 11  9 12  4 12 22 11 14 15 11  4 20 12 30 17 10  4 14 19 21 26 27 27 15  1 11 15  7 13  7  8 16  7 20 19 18  3 29 23 10 10 27 21 13 18  7 22 14 13  2 26 30 20 22 15 20  2 21 18  6 19 18 21 25 29  1  5 23 30 27  2  1 15 23 13  3 21 26 16  3 20 11  3  9 24  9 21 25 21 30 22 10 17 13 26 15  5 30 30  4 27  1 26 11 23 30  5 14 26 12  8 15 14  2 15  7 10  5 23 23 27 15  2 13 19 19 20 23 19 19 19  7 19 14  9  4 14 14  9  1 25  8  7  9 10 21  7 19 18 30 11 14 14  4 18 24 23  7 16  3 17 26  9 28 10 17  1 15 22  1 15  9  8 21  9 17  3 15 28 20 14 30  3 19  4 21 12 18 19 20 12  6 15 20  3 16 28 25 30 20 25  6 20 24 26 28 11 29 12 30 10 18 29 13  6 24 25 10 11 13 21 22 10 27  3

선택하신 메뉴는  7번입니다!!
-----------------------------------------
 (7). ESC 
-----------------------------------------
참조스트림  page_frame[0]   page_frame[1]   page_frame[2] 	페이지 폴트
  14(W)	       14(1,1)	       -1(0,0)	       -1(0,0)		PAGE FAULT
  16(W)	        8(0,1)	       16(1,1)	       13(0,1)		PAGE FAULT
  7(W)	        8(0,1)	       16(1,1)	        7(1,1)		PAGE FAULT
  20(W)	       20(1,1)	       16(1,1)	        7(1,1)		PAGE FAULT
  19(R)	       20(0,1)	       19(1,0)	        7(0,1)		PAGE FAULT
  18(W)	       20(0,1)	       19(1,0)	       18(1,1)		PAGE FAULT
  3(R)	        3(1,0)	       19(1,0)	       18(1,1)		PAGE FAULT
  29(W)	        3(0,0)	       29(1,1)	       18(0,1)		PAGE FAULT
  23(W)	       23(1,1)	       29(1,1)	       18(0,1)		PAGE FAULT
  10(W)	       23(1,1)	       29(1,1)	       10(1,1)		PAGE FAULT
  10(W)	       23(1,1)	       29(1,1)	       10(1,1)		          
  27(W)	       27(1,1)	       29(0,1)	       10(0,1)		PAGE FAULT
  21(W)	       27(1,1)	       21(1,1)	       10(0,1)		PAGE FAULT
  13(R)	       27(1,1)	       21(1,1)	       13(1,0)		PAGE FAULT
  18(R)	       27(0,1)	       21(0,1)	       18(1,0)		PAGE FAULT
  7(W)	        7(1,1)	       21(0,1)	       18(1,0)		PAGE FAULT
  22(R)	        7(1,1)	       22(1,0)	       18(1,0)		PAGE FAULT
  14(R)	        7(0,1)	       22(0,0)	       14(1,0)		PAGE FAULT
  13(R)	        7(0,1)	       13(1,0)	       14(1,0)		PAGE FAULT
  2(R)	        2(1,0)	       13(1,0)	       14(1,0)		PAGE FAULT
  26(R)	        2(0,0)	       26(1,0)	       14(0,0)		PAGE FAULT
  30(W)	        2(0,0)	       26(1,0)	       30(1,1)		PAGE FAULT
  20(R)	       20(1,0)	       26(1,0)	       30(1,1)		PAGE FAULT
  22(R)	       20(0,0)	       22(1,0)	       30(0,1)		PAGE FAULT
  15(W)	       15(1,1)	       22(1,0)	       30(0,1)		PAGE FAULT
  20(R)	       15(1,1)	       22(1,0)	       20(1,0)		PAGE FAULT
  2(W)	       15(0,1)	        2(1,1)	       20(0,0)		PAGE FAULT
  21(W)	       15(0,1)	        2(1,1)	       21(1,1)		PAGE FAULT
  18(W)	       18(1,1)	        2(1,1)	       21(1,1)		PAGE FAULT
  6(R)	       18(0,1)	        6(1,0)	       21(0,1)		PAGE FAULT
  19(R)	       18(0,1)	        6(1,0)	       19(1,0)		PAGE FAULT
  18(R)	       18(1,0)	        6(1,0)	       19(1,0)		          
  21(R)	       21(1,0)	        6(0,0)	       19(0,0)		PAGE FAULT
  25(W)	       21(1,0)	       25(1,1)	       19(0,0)		PAGE FAULT
  29(W)	       21(1,0)	       25(1,1)	       29(1,1)		PAGE FAULT
  1(R)	        1(1,0)	       25(0,1)	       29(0,1)		PAGE FAULT
  5(R)	        1(1,0)	        5(1,0)	       29(0,1)		PAGE FAULT
  23(W)	        1(1,0)	        5(1,0)	       23(1,1)		PAGE FAULT
  30(W)	       30(1,1)	        5(0,0)	       23(0,1)		PAGE FAULT
  27(W)	       30(1,1)	       27(1,1)	       23(0,1)		PAGE FAULT
  2(R)	       30(1,1)	       27(1,1)	        2(1,0)		PAGE FAULT
  1(R)	       30(0,1)	       27(0,1)	        1(1,0)		PAGE FAULT
  15(W)	       15(1,1)	       27(0,1)	        1(1,0)		PAGE FAULT
  23(R)	       15(1,1)	       23(1,0)	        1(1,0)		PAGE FAULT
  13(W)	       15(0,1)	       23(0,0)	       13(1,1)		PAGE FAULT
  3(W)	       15(0,1)	        3(1,1)	       13(1,1)		PAGE FAULT
  21(W)	       21(1,1)	        3(1,1)	       13(1,1)		PAGE FAULT
  26(W)	       21(0,1)	       26(1,1)	       13(0,1)		PAGE FAULT
  16(W)	       21(0,1)	       26(1,1)	       16(1,1)		PAGE FAULT
  3(R)	        3(1,0)	       26(1,1)	       16(1,1)		PAGE FAULT
  20(R)	       20(1,0)	       26(0,1)	       16(0,1)		PAGE FAULT
  11(W)	       20(1,0)	       11(1,1)	       16(0,1)		PAGE FAULT
  3(W)	       20(1,0)	       11(1,1)	        3(1,1)		PAGE FAULT
  9(R)	        9(1,0)	       11(0,1)	        3(0,1)		PAGE FAULT
  24(W)	        9(1,0)	       24(1,1)	        3(0,1)		PAGE FAULT
  9(R)	        9(1,0)	       24(1,1)	        3(0,1)		          
  21(R)	        9(1,0)	       24(1,1)	       21(1,0)		PAGE FAULT
  25(R)	       25(1,0)	       24(0,1)	       21(0,0)		PAGE FAULT
  21(W)	       25(1,0)	       24(0,1)	       21(1,1)		          
  30(W)	       25(1,0)	       30(1,1)	       21(1,1)		PAGE FAULT
  22(W)	       22(1,1)	       30(0,1)	       21(0,1)		PAGE FAULT
  10(R)	       22(1,1)	       10(1,0)	       21(0,1)		PAGE FAULT
  17(W)	       22(1,1)	       10(1,0)	       17(1,1)		PAGE FAULT
  13(W)	       22(0,1)	       13(1,1)	       17(0,1)		PAGE FAULT
  26(W)	       22(0,1)	       13(1,1)	       26(1,1)		PAGE FAULT
  15(R)	       15(1,0)	       13(1,1)	       26(1,1)		PAGE FAULT
  5(W)	        5(1,1)	       13(0,1)	       26(0,1)		PAGE FAULT
  30(R)	        5(1,1)	       30(1,0)	       26(0,1)		PAGE FAULT
  30(W)	        5(1,1)	       30(1,1)	       26(0,1)		          
  4(W)	        5(1,1)	       30(1,1)	        4(1,1)		PAGE FAULT
  27(W)	       27(1,1)	       30(0,1)	        4(0,1)		PAGE FAULT
  1(R)	       27(1,1)	        1(1,0)	        4(0,1)		PAGE FAULT
  26(W)	       27(1,1)	        1(1,0)	       26(1,1)		PAGE FAULT
  11(R)	       27(0,1)	       11(1,0)	       26(0,1)		PAGE FAULT
  23(R)	       27(0,1)	       11(1,0)	       23(1,0)		PAGE FAULT
  30(R)	       30(1,0)	       11(1,0)	       23(1,0)		PAGE FAULT
  5(W)	       30(0,0)	        5(1,1)	       23(0,0)		PAGE FAULT
  14(W)	       30(0,0)	        5(1,1)	       14(1,1)		PAGE FAULT
  26(R)	       26(1,0)	        5(1,1)	       14(1,1)		PAGE FAULT
  12(R)	       12(1,0)	        5(0,1)	       14(0,1)		PAGE FAULT
  8(W)	       12(1,0)	        8(1,1)	       14(0,1)		PAGE FAULT
  15(R)	       12(1,0)	        8(1,1)	       15(1,0)		PAGE FAULT
  14(W)	       14(1,1)	        8(0,1)	       15(0,0)		PAGE FAULT
  2(W)	       14(1,1)	        8(0,1)	        2(1,1)		PAGE FAULT
  15(R)	       14(1,1)	       15(1,0)	        2(1,1)		PAGE FAULT
  7(W)	       14(0,1)	        7(1,1)	        2(0,1)		PAGE FAULT
  10(W)	       14(0,1)	        7(1,1)	       10(1,1)		PAGE FAULT
  5(R)	        5(1,0)	        7(1,1)	       10(1,1)		PAGE FAULT
  23(W)	       23(1,1)	        7(0,1)	       10(0,1)		PAGE FAULT
  23(W)	       23(1,1)	        7(0,1)	       10(0,1)		          
  27(R)	       23(1,1)	       27(1,0)	       10(0,1)		PAGE FAULT
  15(R)	       23(1,1)	       27(1,0)	       15(1,0)		PAGE FAULT
  2(W)	       23(0,1)	        2(1,1)	       15(0,0)		PAGE FAULT
  13(W)	       23(0,1)	        2(1,1)	       13(1,1)		PAGE FAULT
  19(W)	       19(1,1)	        2(1,1)	       13(1,1)		PAGE FAULT
  19(R)	       19(1,0)	        2(1,1)	       13(1,1)		          
  20(R)	       20(1,0)	        2(0,1)	       13(0,1)		PAGE FAULT
  23(W)	       20(1,0)	       23(1,1)	       13(0,1)		PAGE FAULT
  19(R)	       20(1,0)	       23(1,1)	       19(1,0)		PAGE FAULT
  19(W)	       20(1,0)	       23(1,1)	       19(1,1)		          
  19(R)	       20(1,0)	       23(1,1)	       19(1,0)		          
  7(R)	        7(1,0)	       23(0,1)	       19(0,0)		PAGE FAULT
  19(W)	        7(1,0)	       23(0,1)	       19(1,1)		          
  14(W)	        7(1,0)	       14(1,1)	       19(1,1)		PAGE FAULT
  9(R)	        9(1,0)	       14(0,1)	       19(0,1)		PAGE FAULT
  4(W)	        9(1,0)	        4(1,1)	       19(0,1)		PAGE FAULT
  14(R)	        9(1,0)	        4(1,1)	       14(1,0)		PAGE FAULT
  14(R)	        9(1,0)	        4(1,1)	       14(1,0)		          
  9(W)	        9(1,1)	        4(1,1)	       14(1,0)		          
  1(R)	        9(0,1)	        4(0,1)	        1(1,0)		PAGE FAULT
  25(R)	       25(1,0)	        4(0,1)	        1(1,0)		PAGE FAULT
  8(R)	       25(1,0)	        8(1,0)	        1(1,0)		PAGE FAULT
  7(R)	       25(0,0)	        8(0,0)	        7(1,0)		PAGE FAULT
  9(R)	        9(1,0)	        8(0,0)	        7(1,0)		PAGE FAULT
  10(W)	        9(1,0)	       10(1,1)	        7(1,0)		PAGE FAULT
  21(R)	        9(0,0)	       10(0,1)	       21(1,0)		PAGE FAULT
  7(W)	        7(1,1)	       10(0,1)	       21(1,0)		PAGE FAULT
  19(W)	        7(1,1)	       19(1,1)	       21(1,0)		PAGE FAULT
  18(R)	        7(0,1)	       19(0,1)	       18(1,0)		PAGE FAULT
  30(R)	       30(1,0)	       19(0,1)	       18(1,0)		PAGE FAULT
  11(R)	       30(1,0)	       11(1,0)	       18(1,0)		PAGE FAULT
  14(R)	       30(0,0)	       11(0,0)	       14(1,0)		PAGE FAULT
  14(W)	       30(0,0)	       11(0,0)	       14(1,1)		          
  4(W)	        4(1,1)	       11(0,0)	       14(1,1)		PAGE FAULT
  18(R)	        4(1,1)	       18(1,0)	       14(1,1)		PAGE FAULT
  24(R)	        4(0,1)	       24(1,0)	       14(0,1)		PAGE FAULT
  23(W)	        4(0,1)	       24(1,0)	       23(1,1)		PAGE FAULT
  7(R)	        7(1,0)	       24(1,0)	       23(1,1)		PAGE FAULT
  16(W)	        7(0,0)	       16(1,1)	       23(0,1)		PAGE FAULT
  3(R)	        3(1,0)	       16(1,1)	       23(0,1)		PAGE FAULT
  17(W)	        3(1,0)	       16(1,1)	       17(1,1)		PAGE FAULT
  26(W)	       26(1,1)	       16(0,1)	       17(0,1)		PAGE FAULT
  9(R)	       26(1,1)	        9(1,0)	       17(0,1)		PAGE FAULT
  28(W)	       26(1,1)	        9(1,0)	       28(1,1)		PAGE FAULT
  10(W)	       26(0,1)	       10(1,1)	       28(0,1)		PAGE FAULT
  17(R)	       26(0,1)	       10(1,1)	       17(1,0)		PAGE FAULT
  1(R)	        1(1,0)	       10(1,1)	       17(1,0)		PAGE FAULT
  15(W)	        1(0,0)	       10(0,1)	       15(1,1)		PAGE FAULT
  22(R)	       22(1,0)	       10(0,1)	       15(1,1)		PAGE FAULT
  1(W)	       22(1,0)	        1(1,1)	       15(1,1)		PAGE FAULT
  15(W)	       22(1,0)	        1(1,1)	       15(1,1)		          
  9(W)	        9(1,1)	        1(0,1)	       15(0,1)		PAGE FAULT
  8(R)	        9(1,1)	        8(1,0)	       15(0,1)		PAGE FAULT
  21(W)	        9(1,1)	        8(1,0)	       21(1,1)		PAGE FAULT
  9(W)	        9(1,1)	        8(1,0)	       21(1,1)		          
  17(W)	        9(0,1)	       17(1,1)	       21(0,1)		PAGE FAULT
  3(W)	        9(0,1)	       17(1,1)	        3(1,1)		PAGE FAULT
  15(R)	       15(1,0)	       17(1,1)	        3(1,1)		PAGE FAULT
  28(R)	       28(1,0)	       17(0,1)	        3(0,1)		PAGE FAULT
  20(W)	       28(1,0)	       20(1,1)	        3(0,1)		PAGE FAULT
  14(R)	       28(1,0)	       20(1,1)	       14(1,0)		PAGE FAULT
  30(R)	       30(1,0)	       20(0,1)	       14(0,0)		PAGE FAULT
  3(R)	       30(1,0)	       20(0,1)	        3(1,0)		PAGE FAULT
  19(W)	       30(1,0)	       19(1,1)	        3(1,0)		PAGE FAULT
  4(W)	       30(0,0)	       19(0,1)	        4(1,1)		PAGE FAULT
  21(R)	       21(1,0)	       19(0,1)	        4(1,1)		PAGE FAULT
  12(R)	       21(1,0)	       12(1,0)	        4(1,1)		PAGE FAULT
  18(W)	       18(1,1)	       12(0,0)	        4(0,1)		PAGE FAULT
  19(R)	       18(1,1)	       19(1,0)	        4(0,1)		PAGE FAULT
  20(W)	       18(1,1)	       19(1,0)	       20(1,1)		PAGE FAULT
  12(W)	       18(0,1)	       12(1,1)	       20(0,1)		PAGE FAULT
  6(W)	       18(0,1)	       12(1,1)	        6(1,1)		PAGE FAULT
  15(W)	       15(1,1)	       12(1,1)	        6(1,1)		PAGE FAULT
  20(W)	       15(0,1)	       20(1,1)	        6(0,1)		PAGE FAULT
  3(R)	       15(0,1)	       20(1,1)	        3(1,0)		PAGE FAULT
  16(R)	       16(1,0)	       20(1,1)	        3(1,0)		PAGE FAULT
  28(W)	       16(0,0)	       20(0,1)	       28(1,1)		PAGE FAULT
  25(W)	       25(1,1)	       20(0,1)	       28(1,1)		PAGE FAULT
  30(W)	       25(1,1)	       30(1,1)	       28(1,1)		PAGE FAULT
  20(R)	       25(0,1)	       30(0,1)	       20(1,0)		PAGE FAULT
  25(R)	       25(1,0)	       30(0,1)	       20(1,0)		          
  6(R)	       25(1,0)	        6(1,0)	       20(1,0)		PAGE FAULT
  20(W)	       25(1,0)	        6(1,0)	       20(1,1)		          
  24(R)	       24(1,0)	        6(0,0)	       20(0,1)		PAGE FAULT
  26(W)	       24(1,0)	       26(1,1)	       20(0,1)		PAGE FAULT
  28(R)	       24(1,0)	       26(1,1)	       28(1,0)		PAGE FAULT
  11(R)	       11(1,0)	       26(0,1)	       28(0,0)		PAGE FAULT
  29(R)	       11(1,0)	       26(0,1)	       29(1,0)		PAGE FAULT
  12(R)	       11(1,0)	       12(1,0)	       29(1,0)		PAGE FAULT
  30(R)	       11(0,0)	       12(0,0)	       30(1,0)		PAGE FAULT
  10(W)	       10(1,1)	       12(0,0)	       30(1,0)		PAGE FAULT
  18(R)	       10(1,1)	       18(1,0)	       30(1,0)		PAGE FAULT
  29(W)	       10(0,1)	       18(0,0)	       29(1,1)		PAGE FAULT
  13(W)	       10(0,1)	       13(1,1)	       29(1,1)		PAGE FAULT
  6(R)	        6(1,0)	       13(1,1)	       29(1,1)		PAGE FAULT
  24(R)	       24(1,0)	       13(0,1)	       29(0,1)		PAGE FAULT
  25(W)	       24(1,0)	       25(1,1)	       29(0,1)		PAGE FAULT
  10(R)	       24(1,0)	       25(1,1)	       10(1,0)		PAGE FAULT
  11(W)	       11(1,1)	       25(0,1)	       10(0,0)		PAGE FAULT
  13(W)	       11(1,1)	       25(0,1)	       13(1,1)		PAGE FAULT
  21(W)	       11(1,1)	       21(1,1)	       13(1,1)		PAGE FAULT
  22(R)	       11(0,1)	       21(0,1)	       22(1,0)		PAGE FAULT
  10(W)	       10(1,1)	       21(0,1)	       22(1,0)		PAGE FAULT
  27(R)	       10(1,1)	       27(1,0)	       22(1,0)		PAGE FAULT
  3(W)	       10(0,1)	       27(0,0)	        3(1,1)		PAGE FAULT

Enhanced Second Chance: 
	Page faults : 455
	       Hits : 45
	  Hit Ratio : 9.00%
-----------------------------------------


 결과 비교를 위하여 Optimal 알고리즘을 수행합니다..
-----------------------------------------
 (1). OPTIMAL 
-----------------------------------------
참조스트림  page_frame[0]   page_frame[1]   page_frame[2] 	페이지 폴트
    14	         14	         -1	         -1		PAGE FAULT
    17	         14	         17	         -1		PAGE FAULT
    28	         14	         17	         28		PAGE FAULT
    26	         26	         17	         28		PAGE FAULT
    24	         26	         17	         24		PAGE FAULT
    26	         26	         17	         24		          
    17	         26	         17	         24		          
    13	         13	         17	         24		PAGE FAULT
    10	         10	         17	         24		PAGE FAULT
    2	          2	         17	         24		PAGE FAULT
    3	          3	         17	         24		PAGE FAULT
    8	          8	         17	         24		PAGE FAULT
    21	         21	         17	         24		PAGE FAULT
    20	         20	         17	         24		PAGE FAULT
    24	         20	         17	         24		          
    17	         20	         17	         24		          
    1	          1	         17	         24		PAGE FAULT
    7	          1	         17	          7		PAGE FAULT
    23	          1	         17	         23		PAGE FAULT
    17	          1	         17	         23		          
    12	         12	         17	         23		PAGE FAULT
    9	          9	         17	         23		PAGE FAULT
    28	         28	         17	         23		PAGE FAULT
    10	         28	         17	         10		PAGE FAULT
    3	         28	         17	          3		PAGE FAULT
    21	         28	         21	          3		PAGE FAULT
    3	         28	         21	          3		          
    14	         28	         21	         14		PAGE FAULT
    8	         28	          8	         14		PAGE FAULT
    26	         28	         26	         14		PAGE FAULT
    30	         28	         30	         14		PAGE FAULT
    13	         28	         30	         13		PAGE FAULT
    13	         28	         30	         13		          
    19	         28	         30	         19		PAGE FAULT
    30	         28	         30	         19		          
    28	         28	         30	         19		          
    14	         28	         30	         14		PAGE FAULT
    17	         28	         30	         17		PAGE FAULT
    2	          2	         30	         17		PAGE FAULT
    23	         23	         30	         17		PAGE FAULT
    10	         10	         30	         17		PAGE FAULT
    4	          4	         30	         17		PAGE FAULT
    22	         22	         30	         17		PAGE FAULT
    30	         22	         30	         17		          
    15	         15	         30	         17		PAGE FAULT
    8	         15	          8	         17		PAGE FAULT
    9	         15	          9	         17		PAGE FAULT
    15	         15	          9	         17		          
    6	         15	          6	         17		PAGE FAULT
    1	         15	          1	         17		PAGE FAULT
    24	         15	         24	         17		PAGE FAULT
    17	         15	         24	         17		          
    2	         15	          2	         17		PAGE FAULT
    21	         21	          2	         17		PAGE FAULT
    27	         21	         27	         17		PAGE FAULT
    4	         21	          4	         17		PAGE FAULT
    3	         21	          3	         17		PAGE FAULT
    21	         21	          3	         17		          
    17	         21	          3	         17		          
    2	         21	          2	         17		PAGE FAULT
    16	         21	         16	         17		PAGE FAULT
    16	         21	         16	         17		          
    15	         15	         16	         17		PAGE FAULT
    28	         28	         16	         17		PAGE FAULT
    27	         27	         16	         17		PAGE FAULT
    6	          6	         16	         17		PAGE FAULT
    17	          6	         16	         17		          
    10	         10	         16	         17		PAGE FAULT
    14	         14	         16	         17		PAGE FAULT
    18	         18	         16	         17		PAGE FAULT
    25	         25	         16	         17		PAGE FAULT
    16	         25	         16	         17		          
    13	         25	         16	         13		PAGE FAULT
    16	         25	         16	         13		          
    15	         25	         15	         13		PAGE FAULT
    28	         25	         15	         28		PAGE FAULT
    15	         25	         15	         28		          
    15	         25	         15	         28		          
    4	         25	         15	          4		PAGE FAULT
    21	         25	         21	          4		PAGE FAULT
    8	         25	          8	          4		PAGE FAULT
    19	         25	         19	          4		PAGE FAULT
    7	         25	          7	          4		PAGE FAULT
    9	         25	          9	          4		PAGE FAULT
    9	         25	          9	          4		          
    25	         25	          9	          4		          
    4	         25	          9	          4		          
    12	         25	         12	          4		PAGE FAULT
    15	         25	         12	         15		PAGE FAULT
    20	         25	         20	         15		PAGE FAULT
    13	         25	         20	         13		PAGE FAULT
    1	         25	         20	          1		PAGE FAULT
    27	         25	         20	         27		PAGE FAULT
    19	         25	         20	         19		PAGE FAULT
    20	         25	         20	         19		          
    23	         25	         23	         19		PAGE FAULT
    17	         25	         23	         17		PAGE FAULT
    7	         25	         23	          7		PAGE FAULT
    25	         25	         23	          7		          
    30	         30	         23	          7		PAGE FAULT
    16	         30	         23	         16		PAGE FAULT
    11	         11	         23	         16		PAGE FAULT
    15	         15	         23	         16		PAGE FAULT
    29	         29	         23	         16		PAGE FAULT
    18	         18	         23	         16		PAGE FAULT
    22	         18	         23	         22		PAGE FAULT
    18	         18	         23	         22		          
    3	          3	         23	         22		PAGE FAULT
    28	         28	         23	         22		PAGE FAULT
    13	         13	         23	         22		PAGE FAULT
    23	         13	         23	         22		          
    27	         27	         23	         22		PAGE FAULT
    2	         27	          2	         22		PAGE FAULT
    21	         27	          2	         21		PAGE FAULT
    27	         27	          2	         21		          
    2	         27	          2	         21		          
    16	         27	          2	         16		PAGE FAULT
    30	         27	          2	         30		PAGE FAULT
    5	         27	          5	         30		PAGE FAULT
    30	         27	          5	         30		          
    11	         27	         11	         30		PAGE FAULT
    10	         10	         11	         30		PAGE FAULT
    22	         10	         22	         30		PAGE FAULT
    8	         10	         22	          8		PAGE FAULT
    28	         10	         22	         28		PAGE FAULT
    12	         10	         22	         12		PAGE FAULT
    22	         10	         22	         12		          
    6	         10	         22	          6		PAGE FAULT
    10	         10	         22	          6		          
    8	          8	         22	          6		PAGE FAULT
    28	         28	         22	          6		PAGE FAULT
    17	         17	         22	          6		PAGE FAULT
    18	         17	         18	          6		PAGE FAULT
    4	         17	          4	          6		PAGE FAULT
    7	         17	          7	          6		PAGE FAULT
    6	         17	          7	          6		          
    17	         17	          7	          6		          
    24	         24	          7	          6		PAGE FAULT
    30	         30	          7	          6		PAGE FAULT
    15	         30	         15	          6		PAGE FAULT
    29	         30	         29	          6		PAGE FAULT
    22	         30	         29	         22		PAGE FAULT
    3	         30	         29	          3		PAGE FAULT
    30	         30	         29	          3		          
    4	         30	         29	          4		PAGE FAULT
    30	         30	         29	          4		          
    1	         30	         29	          1		PAGE FAULT
    19	         30	         29	         19		PAGE FAULT
    29	         30	         29	         19		          
    6	         30	         29	          6		PAGE FAULT
    11	         30	         11	          6		PAGE FAULT
    10	         30	         10	          6		PAGE FAULT
    7	         30	          7	          6		PAGE FAULT
    24	         30	         24	          6		PAGE FAULT
    9	         30	          9	          6		PAGE FAULT
    26	         30	         26	          6		PAGE FAULT
    27	         30	         27	          6		PAGE FAULT
    22	         30	         22	          6		PAGE FAULT
    2	         30	          2	          6		PAGE FAULT
    6	         30	          2	          6		          
    30	         30	          2	          6		          
    29	         29	          2	          6		PAGE FAULT
    15	         29	          2	         15		PAGE FAULT
    9	          9	          2	         15		PAGE FAULT
    2	          9	          2	         15		          
    21	         21	          2	         15		PAGE FAULT
    14	         14	          2	         15		PAGE FAULT
    11	         11	          2	         15		PAGE FAULT
    15	         11	          2	         15		          
    5	         11	          2	          5		PAGE FAULT
    25	         25	          2	          5		PAGE FAULT
    5	         25	          2	          5		          
    18	         25	          2	         18		PAGE FAULT
    27	         25	         27	         18		PAGE FAULT
    4	         25	          4	         18		PAGE FAULT
    22	         25	         22	         18		PAGE FAULT
    18	         25	         22	         18		          
    26	         25	         26	         18		PAGE FAULT
    10	         25	         10	         18		PAGE FAULT
    17	         25	         17	         18		PAGE FAULT
    23	         25	         23	         18		PAGE FAULT
    12	         25	         12	         18		PAGE FAULT
    18	         25	         12	         18		          
    29	         25	         29	         18		PAGE FAULT
    6	         25	          6	         18		PAGE FAULT
    18	         25	          6	         18		          
    25	         25	          6	         18		          
    2	          2	          6	         18		PAGE FAULT
    9	          9	          6	         18		PAGE FAULT
    26	          9	         26	         18		PAGE FAULT
    30	          9	         30	         18		PAGE FAULT
    8	          9	          8	         18		PAGE FAULT
    16	          9	         16	         18		PAGE FAULT
    14	          9	         14	         18		PAGE FAULT
    9	          9	         14	         18		          
    9	          9	         14	         18		          
    4	          9	         14	          4		PAGE FAULT
    22	          9	         14	         22		PAGE FAULT
    19	          9	         14	         19		PAGE FAULT
    10	          9	         14	         10		PAGE FAULT
    27	          9	         14	         27		PAGE FAULT
    5	          9	         14	          5		PAGE FAULT
    14	          9	         14	          5		          
    14	          9	         14	          5		          
    24	          9	         24	          5		PAGE FAULT
    9	          9	         24	          5		          
    27	         27	         24	          5		PAGE FAULT
    11	         11	         24	          5		PAGE FAULT
    5	         11	         24	          5		          
    29	         29	         24	          5		PAGE FAULT
    19	         19	         24	          5		PAGE FAULT
    19	         19	         24	          5		          
    10	         10	         24	          5		PAGE FAULT
    28	         28	         24	          5		PAGE FAULT
    18	         18	         24	          5		PAGE FAULT
    7	          7	         24	          5		PAGE FAULT
    15	         15	         24	          5		PAGE FAULT
    4	          4	         24	          5		PAGE FAULT
    1	          1	         24	          5		PAGE FAULT
    24	          1	         24	          5		          
    21	          1	         21	          5		PAGE FAULT
    30	          1	         30	          5		PAGE FAULT
    23	          1	         23	          5		PAGE FAULT
    6	          1	          6	          5		PAGE FAULT
    5	          1	          6	          5		          
    1	          1	          6	          5		          
    6	          1	          6	          5		          
    30	          1	         30	          5		PAGE FAULT
    15	         15	         30	          5		PAGE FAULT
    17	         15	         17	          5		PAGE FAULT
    10	         15	         10	          5		PAGE FAULT
    3	         15	          3	          5		PAGE FAULT
    13	         15	         13	          5		PAGE FAULT
    15	         15	         13	          5		          
    8	          8	         13	          5		PAGE FAULT
    28	         28	         13	          5		PAGE FAULT
    16	         16	         13	          5		PAGE FAULT
    5	         16	         13	          5		          
    9	         16	          9	          5		PAGE FAULT
    12	         16	          9	         12		PAGE FAULT
    3	          3	          9	         12		PAGE FAULT
    19	         19	          9	         12		PAGE FAULT
    30	         30	          9	         12		PAGE FAULT
    4	          4	          9	         12		PAGE FAULT
    17	         17	          9	         12		PAGE FAULT
    9	         17	          9	         12		          
    11	         11	          9	         12		PAGE FAULT
    23	         11	         23	         12		PAGE FAULT
    12	         11	         23	         12		          
    11	         11	         23	         12		          
    16	         11	         16	         12		PAGE FAULT
    2	         11	          2	         12		PAGE FAULT
    2	         11	          2	         12		          
    1	         11	          1	         12		PAGE FAULT
    29	         11	          1	         29		PAGE FAULT
    6	         11	          1	          6		PAGE FAULT
    1	         11	          1	          6		          
    27	         27	          1	          6		PAGE FAULT
    5	          5	          1	          6		PAGE FAULT
    7	          7	          1	          6		PAGE FAULT
    13	         13	          1	          6		PAGE FAULT
    6	         13	          1	          6		          
    9	         13	          1	          9		PAGE FAULT
    17	         13	         17	          9		PAGE FAULT
    13	         13	         17	          9		          
    9	         13	         17	          9		          
    15	         13	         15	          9		PAGE FAULT
    28	         13	         15	         28		PAGE FAULT
    13	         13	         15	         28		          
    15	         13	         15	         28		          
    1	         13	         15	          1		PAGE FAULT
    7	          7	         15	          1		PAGE FAULT
    3	          3	         15	          1		PAGE FAULT
